competition_id,origin,season_id,rank_rps_difference,points_crps_difference
eng-premier-league,MW12,2019-2020,-0.0026275853026315795,-0.12335147950000067
eng-premier-league,MW12,2020-2021,-0.002092793947368414,-0.16675397500000513
eng-premier-league,MW12,2021-2022,2.059871052630547e-05,-0.23789338749999933
eng-premier-league,MW12,2022-2023,0.002063528842105273,-0.01110028299999959
eng-premier-league,MW12,2023-2024,-0.0012796397763157902,-0.3076453850000026
eng-premier-league,MW12,2024-2025,0.0024806408947368403,0.0628692715000015
eng-premier-league,MW12,2025-2026,0.00022670265789475236,-0.06638436000000039
eng-premier-league,MW19,2015-2016,7.86407105263202e-05,0.0299330619999985
eng-premier-league,MW19,2016-2017,-0.0006479335526315805,-0.12423315350000128
eng-premier-league,MW19,2017-2018,0.0014987649473684258,0.05873021250000091
eng-premier-league,MW19,2018-2019,-5.644381578947958e-05,-0.016957554999997394
eng-premier-league,MW19,2019-2020,-0.0011101036315789494,-0.10913331950000087
eng-premier-league,MW19,2020-2021,-0.001229435710526291,-0.096473239500002
eng-premier-league,MW19,2021-2022,-0.000904479644736849,-0.13665377400000112
eng-premier-league,MW19,2022-2023,0.0002261566842105209,-0.02496198399999906
eng-premier-league,MW19,2023-2024,-0.0013213138684210497,-0.24444197000000162
eng-premier-league,MW19,2024-2025,-0.00016868964473683046,-0.014778895500000134
eng-premier-league,MW19,2025-2026,9.796447368430606e-06,-0.0011830824999997103
eng-premier-league,MW30,2015-2016,0.00033643363157894303,-0.009466339500000665
eng-premier-league,MW30,2016-2017,-0.00015983284210525553,-0.10996499699999882
eng-premier-league,MW30,2017-2018,0.00043159807894735966,0.024645777500000354
eng-premier-league,MW30,2018-2019,-2.13498421052605e-05,-0.002310110500002066
eng-premier-league,MW30,2019-2020,-0.000841649855263156,-0.05841097249999936
eng-premier-league,MW30,2020-2021,-0.0010783199473684195,-0.023355734999997962
eng-premier-league,MW30,2021-2022,0.0003590096052631548,0.005054053999999425
eng-premier-league,MW30,2022-2023,-0.0004727886578947336,-0.029511867000000948
eng-premier-league,MW30,2023-2024,-0.00048710977631579507,-0.064192418000001
eng-premier-league,MW30,2024-2025,-0.001112526631578957,-0.04107365199999867
eng-premier-league,MW30,2025-2026,0.000645724473684213,0.00034092650000146495
eng-championship,preseason,2015-2016,-0.0003539496014492895,-0.07537498583333464
eng-championship,preseason,2016-2017,0.0010354509873188283,-0.03377724874999762
eng-championship,preseason,2017-2018,3.2569990942020226e-05,-0.04784827375000028
eng-championship,preseason,2018-2019,-0.0003563288768116,-0.03421220458334053
eng-championship,preseason,2019-2020,0.001597493414855047,0.09190409708333286
eng-championship,preseason,2020-2021,0.0020752883423913104,0.0443133725000017
eng-championship,preseason,2021-2022,0.0007024451177536243,0.003115290833335671
eng-championship,preseason,2022-2023,-0.00035872424818841203,-0.04633688291667306
eng-championship,preseason,2023-2024,0.0005892275634058081,0.034356239583331706
eng-championship,preseason,2024-2025,0.0010104325815217354,-0.019589578333334967
eng-championship,preseason,2025-2026,0.001375261023550734,0.06441622791666686
eng-championship,MW6,2015-2016,0.0003535027717391336,-0.04991281541666659
eng-championship,MW6,2016-2017,-0.00021228413043478862,-0.12640375333333378
eng-championship,MW6,2017-2018,-0.002215039855072491,-0.2135001837499968
eng-championship,MW6,2018-2019,-0.0007359855163043529,0.005253852500001895
eng-championship,MW6,2019-2020,0.001483796295289863,0.08220849291666626
eng-championship,MW6,2020-2021,0.001131062454710152,0.02620991583333428
eng-championship,MW6,2021-2022,-0.0015544503804347856,-0.1089381316666656
eng-championship,MW6,2022-2023,-0.0015668769202898593,-0.14069273499999915
eng-championship,MW6,2023-2024,-0.0006840803623188255,-0.09011406958333434
eng-championship,MW6,2024-2025,0.00043205463768115497,0.07306777208333855
